date,priorityGB,optInPriorityGB,standardGB,nonBillableGB
2026-07-10,59.19,0,0,0
2026-07-11,61.37,0,0,0
2026-07-12,54.95,0,0,0
2026-07-13,42.34,0,0,0
2026-07-14,48.82,0,0,0
2026-07-15,56.58,0,0,0
2026-07-16,54.04,0,0,0
2026-07-17,87.87,0,0,0
2026-07-18,56.68,0,0,0
2026-07-19,50.54,0,0,0
2026-07-20,55.2,0,0,0
2026-07-21,61.39,0,0,0
2026-07-22,83.65,0,0,0
2026-07-23,75.88,0,0,0
2026-07-24,42.11,0,0,0
2026-07-25,49.91,0,0,0
2026-07-26,42.38,0,0,0
2026-07-27,30.43,0,0,0
2026-07-28,40.46,0,0,0
2026-07-29,65.78,0,0,0
2026-07-30,83.18,0,0,0
2026-07-31,49.16,0,0,0
2026-08-01,40.26,0,0,0
2026-08-02,46.4,0,0,0
2026-08-03,40.61,0,0,0
2026-08-04,163.56,0,0,0
2026-08-05,48.12,0,0,0
2026-08-06,23.08,0,0,0
2026-08-07,106.94,0,0,0
2026-08-08,53.38,0,0,0
2026-08-09,42.62,0,0,0
2026-08-10,55.98,0,0,0
2026-08-11,143.38,0,0,0
2026-08-12,108.86,0,0,0
2026-08-13,83.45,0,0,0
2026-08-14,61.89,0,0,0
2026-08-15,63.82,0,0,0
2026-08-16,83.86,0,0,0
2026-08-17,88.21,0,0,0
2026-08-18,91.67,0,0,0
2026-08-19,92.93,0,0,0
